idEntrada,state,usuarioOnline,statusSaida,paginaSaida,avaliacao,dataHoraEntrada,dataHoraSaida,dataHoraErro,tempoAcesso,codigo,erro
1,CE,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,173,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
2,PE,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,212,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
3,CE,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,427,500,"""INTERNAL SERVER ERROR"""
4,PR,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,248,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
5,TO,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:02,256,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
6,RS,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,446,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
7,RN,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,295,500,"""CLIENTE NAO CADASTRADO"""
8,RJ,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:56,88,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
9,PR,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,158,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
10,MT,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,187,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
11,SE,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,387,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
12,RJ,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 17:59,283,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
13,RN,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,288,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
14,MG,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,253,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
15,AP,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,173,500,"""CHAVE PIX INCORRETA"""
16,AM,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:03,454,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
17,SP,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,300,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
18,RR,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 17:57,18/05/2021 17:57,4,500,"""INTERNAL SERVER ERROR"""
19,AC,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,324,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
20,BA,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,183,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
21,MA,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,112,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
22,RR,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,214,500,"""CLIENTE NAO CADASTRADO"""
23,MS,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:57,117,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
24,PB,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,153,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
25,CE,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,165,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
26,PE,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,38,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
27,SP,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,341,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
28,PE,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,258,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
29,RN,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,103,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
30,TO,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:02,390,500,"""CHAVE PIX INCORRETA"""
31,RN,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,291,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
32,RO,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,205,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
33,AM,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,347,500,"""INTERNAL SERVER ERROR"""
34,AC,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,345,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
35,MA,0,100%,0,positiva,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,339,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
36,AM,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:02,323,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
37,SP,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,306,500,"""CLIENTE NAO CADASTRADO"""
38,MG,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,233,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
39,MT,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,203,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
40,MS,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,194,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
41,SP,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,157,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
42,GO,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 17:59,215,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
43,SE,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:58,88,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
44,PE,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:04,500,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
45,PI,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,385,500,"""CHAVE PIX INCORRETA"""
46,MT,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,105,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
47,AM,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,192,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
48,PE,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,184,500,"""INTERNAL SERVER ERROR"""
49,SP,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,334,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
50,ES,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,230,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
51,MS,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,270,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
52,SP,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,237,500,"""CLIENTE NAO CADASTRADO"""
53,TO,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,235,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
54,MG,0,100%,0,positiva,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,404,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
55,BA,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 17:59,213,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
56,MS,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,422,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
57,MT,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,54,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
58,PI,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,310,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
59,PI,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,255,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
