state,city,RDPC
GO,Abadia de Goiás/GO,574.96
MG,Abadia dos Dourados/MG,596.18
GO,Abadiânia/GO,519.87
PA,Abaetetuba/PA,293.01
MG,Abaeté/MG,707.24
CE,Abaiara/CE,229.74
BA,Abaré/BA,220.16
PR,Abatiá/PR,535.86
BA,Abaíra/BA,290.53
SC,Abdon Batista/SC,485.35
PA,Abel Figueiredo/PA,390.12
SC,Abelardo Luz/SC,562.88
MG,Abre Campo/MG,444.32
PE,Abreu e Lima/PE,390.4
TO,Abreulândia/TO,624.03
MG,Acaiaca/MG,357.03
BA,Acajutiba/BA,260.46
CE,Acarape/CE,259.03
CE,Acaraú/CE,250.79
RN,Acari/RN,410.61
PA,Acará/PA,199.34
PI,Acauã/PI,199.35
RS,Aceguá/RS,633.63
CE,Acopiara/CE,266.65
MT,Acorizal/MT,321.58
AC,Acrelândia/AC,303.76
GO,Acreúna/GO,664.09
SP,Adamantina/SP,975.43
GO,Adelândia/GO,497.31
SP,Adolfo/SP,661.65
PR,Adrianópolis/PR,440.79
BA,Adustina/BA,211.37
PE,Afogados da Ingazeira/PE,386.56
RN,Afonso Bezerra/RN,261.3
ES,Afonso Cláudio/ES,489.59
MA,Afonso Cunha/MA,149.78
PE,Afrânio/PE,233.59
PA,Afuá/PA,163.98
PE,Agrestina/PE,297.02
PI,Agricolândia/PI,245.68
SC,Agrolândia/SC,739.1
SC,Agronômica/SC,985.65
MG,Aguanil/MG,524.43
SP,Aguaí/SP,636.07
RS,Agudo/RS,861.06
PR,Agudos do Sul/PR,519.63
SP,Agudos/SP,642.59
PB,Aguiar/PB,407.32
TO,Aguiarnópolis/TO,374.27
MG,Aimorés/MG,567.46
BA,Aiquara/BA,283.24
CE,Aiuaba/CE,200.6
MG,Aiuruoca/MG,539.92
RS,Ajuricaba/RS,925.7
PB,Alagoa Grande/PB,287.94
PB,Alagoa Nova/PB,272.81
MG,Alagoa/MG,413.75
PI,Alagoinha do Piauí/PI,222.87
PB,Alagoinha/PB,284.64
PE,Alagoinha/PE,275.5
BA,Alagoinhas/BA,553.17
SP,Alambari/SP,556.36
MG,Albertina/MG,564.08
PB,Alcantil/PB,245.01
MS,Alcinópolis/MS,764.03
BA,Alcobaça/BA,357.99
MA,Alcântara/MA,209.27
CE,Alcântaras/CE,243.73
MA,Aldeias Altas/MA,179.92
RS,Alecrim/RS,561.62
ES,Alegre/ES,655.72
PI,Alegrete do Piauí/PI,268.12
RS,Alegrete/RS,705.29
RS,Alegria/RS,692.76
PA,Alenquer/PA,215.33
RN,Alexandria/RN,296.5
GO,Alexânia/GO,498.09
MG,Alfenas/MG,783.41
ES,Alfredo Chaves/ES,634.97
SP,Alfredo Marcondes/SP,558.38
MG,Alfredo Vasconcelos/MG,400.14
SC,Alfredo Wagner/SC,630.54
PB,Algodão de Jandaíra/PB,218.7
PB,Alhandra/PB,236.14
TO,Aliança do Tocantins/TO,357.08
PE,Aliança/PE,269.86
BA,Almadina/BA,265.39
TO,Almas/TO,369.39
PA,Almeirim/PA,484.16
MG,Almenara/MG,419.98
RN,Almino Afonso/RN,291.3
RS,Almirante Tamandaré do Sul/RS,760.16
PR,Almirante Tamandaré/PR,646.02
GO,Aloândia/GO,599.9
MG,Alpercata/MG,401.21
RS,Alpestre/RS,625.11
MG,Alpinópolis/MG,633.91
RO,Alta Floresta D'Oeste/RO,476.99
MT,Alta Floresta/MT,660.84
SP,Altair/SP,616.38
MA,Altamira do Maranhão/MA,164.24
PR,Altamira do Paraná/PR,506.31
PA,Altamira/PA,492.05
CE,Altaneira/CE,240.97
MG,Alterosa/MG,475.99
PE,Altinho/PE,259.21
SP,Altinópolis/SP,731.49
MA,Alto Alegre do Maranhão/MA,198.43
MA,Alto Alegre do Pindaré/MA,144.91
RO,Alto Alegre dos Parecis/RO,341.22
RR,Alto Alegre/RR,201.32
RS,Alto Alegre/RS,880.85
SP,Alto Alegre/SP,560.3
MT,Alto Araguaia/MT,671.99
SC,Alto Bela Vista/SC,770.49
MT,Alto Boa Vista/MT,362.66
MG,Alto Caparaó/MG,505.1
RS,Alto Feliz/RS,802.2
MT,Alto Garças/MT,651.91
GO,Alto Horizonte/GO,661.19
MG,Alto Jequitibá/MG,486.73
PI,Alto Longá/PI,272.28
MT,Alto Paraguai/MT,360.06
PR,Alto Paraná/PR,548.25
GO,Alto Paraíso de Goiás/GO,719.11
PR,Alto Paraíso/PR,540.24
RO,Alto Paraíso/RO,498.49
MA,Alto Parnaíba/MA,559.61
PR,Alto Piquiri/PR,515.07
MG,Alto Rio Doce/MG,323.95
ES,Alto Rio Novo/ES,413.59
CE,Alto Santo/CE,265.07
MT,Alto Taquari/MT,781.26
RN,Alto do Rodrigues/RN,447.67
PI,Altos/PI,314.48
PR,Altônia/PR,585.49
SP,Alumínio/SP,747.27
MG,Alvarenga/MG,312.46
AM,Alvarães/AM,178.67
SP,Alvinlândia/SP,710.49
MG,Alvinópolis/MG,460.96
RO,Alvorada D'Oeste/RO,469.26
MG,Alvorada de Minas/MG,277.99
PI,Alvorada do Gurguéia/PI,203.23
GO,Alvorada do Norte/GO,429.63
PR,Alvorada do Sul/PR,605.41
RS,Alvorada/RS,600.48
TO,Alvorada/TO,539.26
MG,Além Paraíba/MG,674.5
RR,Amajari/RR,121.32
MS,Amambai/MS,561.14
PR,Amaporã/PR,441.01
MA,Amapá do Maranhão/MA,182.63
AP,Amapá/AP,406.9
PE,Amaraji/PE,286.59
RS,Amaral Ferrador/RS,499.77
GO,Amaralina/GO,276.05
MA,Amarante do Maranhão/MA,231.79
PI,Amarante/PI,284.71
BA,Amargosa/BA,369.84
AM,Amaturá/AM,178.69
SP,Americana/SP,1161.68
GO,Americano do Brasil/GO,512.95
RS,Ametista do Sul/RS,611.2
CE,Amontada/CE,182.47
GO,Amorinópolis/GO,523.25
SE,Amparo de São Francisco/SE,275.32
MG,Amparo do Serra/MG,368.72
PB,Amparo/PB,225.5
SP,Amparo/SP,1027.6
PR,Ampére/PR,618.76
BA,Amélia Rodrigues/BA,354.66
BA,América Dourada/BA,186.1
SP,Américo Brasiliense/SP,659.67
SP,Américo de Campos/SP,686.56
AL,Anadia/AL,239.53
BA,Anagé/BA,243.52
PR,Anahy/PR,520.88
MA,Anajatuba/MA,207.65
PA,Anajás/PA,186.88
SP,Analândia/SP,823.33
AM,Anamã/AM,226.82
PA,Ananindeua/PA,564.76
TO,Ananás/TO,380.36
PA,Anapu/PA,266.28
MA,Anapurus/MA,192.8
MS,Anastácio/MS,495.48
MS,Anaurilândia/MS,538.13
ES,Anchieta/ES,608.42
SC,Anchieta/SC,636.15
BA,Andaraí/BA,230.36
PR,Andirá/PR,587.51
BA,Andorinha/BA,305.81
MG,Andradas/MG,754.39
SP,Andradina/SP,919.36
MG,Andrelândia/MG,534.68
RS,André da Rocha/RS,792.19
SP,Angatuba/SP,597.99
PE,Angelim/PE,253.26
